Pos	Blue	Green	Red
  0	21970648	21972961	21972580
  1	21969371	21964706	21970413
  2	21971741	21971295	21968831
  3	21965341	21971804	21980665
  4	21972539	21975167	21970240
  5	21975604	21966652	21972580
  6	21974549	21963885	21965455
  7	21975472	21970145	21978797
  8	21971290	21975714	21965549
  9	21980084	21978698	21975271
 10	21965750	21971960	21974558
 11	21974495	21970509	21977256
 12	21974797	21964593	21970486
 13	21969563	21971225	21975934
 14	21966500	21970667	21979421
 15	21969790	21972353	21967693
 16	21965885	21971755	21972815
 17	21974731	21970411	21970443
 18	21979343	21973084	21972073
 19	21977736	21969260	21970479
 20	21967629	21967424	21961958
 21	21977849	21971443	21976714
 22	21971454	21971444	21964410
 23	21982673	21978129	21976692
 24	21970725	21974776	21972757
 25	21971746	21974544	21970684
 26	21978750	21977856	21968363
 27	21971054	21972595	21966006
 28	21970731	21979616	21975854
 29	21967982	21974524	21973560
 30	21964815	21977312	21973536
 31	21969318	21966128	21968312
 32	21971632	21970109	21968541
 33	21973472	21973321	21979690
 34	21976584	21973541	21967777
 35	21975533	21967413	21972427
 36	21970084	21977113	21969234
 37	21973935	21973786	21975267
 38	21962997	21976042	21978207
 39	21982467	21968627	21965305
 40	21975662	21972255	21977963
 41	21975014	21977946	21959932
 42	21984318	21968577	21982599
 43	21964021	21965735	21969866
 44	21974668	21971719	21974487
 45	21972556	21979127	21973459
 46	21972503	21964053	21972398
 47	21977690	21974443	21973641
 48	21972368	21970829	21967876
 49	21977221	21976682	21968513
 50	21970322	21976165	21974203
 51	21974850	21978912	21974361
 52	21964184	21975858	21971672
 53	21970331	21972498	21970034
 54	21967000	21978563	21970417
 55	21973367	21977364	21970165
 56	21975015	21971870	21970637
 57	21971056	21971387	21980127
 58	21966950	21966014	21962658
 59	21969109	21971891	21973315
 60	21965834	21974686	21969382
 61	21967633	21973796	21970688
 62	21972006	21965855	21974261
 63	21966228	21978184	21972284
 64	21979606	21981446	21978202
 65	21975436	21966340	21972763
 66	21973211	21978340	21981943
 67	21971697	21974922	21975800
 68	21966853	21967035	21965639
 69	21971639	21968447	21970819
 70	21974660	21969751	21975675
 71	21967131	21972883	21968634
 72	21966918	21967073	21968958
 73	21967695	21976995	21973652
 74	21976179	21974268	21970908
 75	21978176	21967612	21970412
 76	21971170	21964259	21963511
 77	21974165	21980673	21973358
 78	21970490	21967139	21971629
 79	21977413	21969401	21975149
 80	21978529	21964150	21979748
 81	21972798	21969519	21971924
 82	21971134	21977535	21981608
 83	21966140	21971617	21971497
 84	21973877	21974884	21982879
 85	21977819	21966827	21981507
 86	21980627	21964665	21966405
 87	21972571	21977225	21976894
 88	21974931	21969274	21972560
 89	21961945	21974330	21972080
 90	21964124	21978049	21973579
 91	21976751	21977621	21983609
 92	21965005	21971657	21970173
 93	21972873	21967711	21974591
 94	21980020	21986347	21963282
 95	21970528	21981351	21964498
 96	21971878	21969536	21970686
 97	21969697	21979795	21963145
 98	21968647	21969696	21979354
 99	21974660	21967645	21978934
100	21974704	21976353	21968773
101	21965259	21976006	21977430
102	21971830	21970386	21972586
103	21969285	21973200	21979450
104	21975657	21966543	21971487
105	21972429	21969869	21961153
106	21974269	21968842	21973099
107	21972391	21975326	21974080
108	21974942	21968163	21970451
109	21981137	21975504	21978460
110	21969778	21976419	21968357
111	21963760	21977131	21971437
112	21973072	21977259	21969975
113	21975031	21973546	21974541
114	21974925	21978824	21972313
115	21982152	21976931	21972024
116	21972200	21971485	21974089
117	21972296	21979254	21971375
118	21977632	21969278	21968059
119	21974177	21977263	21962536
120	21974892	21975409	21973466
121	21973634	21977675	21970220
122	21971008	21975180	21977454
123	21966181	21971083	21973276
124	21972279	21966041	21978132
125	21966878	21971478	21974212
126	21969775	21967980	21975216
127	21972417	21977986	21972448
128	21967919	21972986	21975368
129	21982059	21972428	21983808
130	21978679	21970791	21971256
131	21967784	21968405	21979986
132	21973152	21963609	21970127
133	21977219	21973241	21972325
134	21971142	21976944	21970533
135	21974584	21968011	21968736
136	21973356	21973702	21970026
137	21973826	21971725	21973129
138	21966691	21979412	21976225
139	21970416	21964859	21975264
140	21966195	21972378	21969063
141	21974661	21976293	21975276
142	21971072	21967455	21971640
143	21976866	21980076	21982893
144	21972431	21976547	21974468
145	21976453	21965504	21976276
146	21970025	21976167	21971464
147	21970549	21979629	21980454
148	21969276	21968276	21974094
149	21975379	21969825	21976512
150	21977064	21967369	21982220
151	21973938	21969598	21966408
152	21970364	21981811	21970645
153	21975446	21980746	21975139
154	21967695	21966498	21969895
155	21961826	21980431	21971578
156	21968138	21977192	21972941
157	21975933	21972147	21982539
158	21974186	21970771	21967232
159	21972220	21972197	21971224
160	21969870	21984827	21972843
161	21969785	21987273	21975622
162	21973553	21973343	21969200
163	21979979	21969197	21973357
164	21970594	21979949	21975059
165	21983461	21971419	21982485
166	21972067	21979280	21967584
167	21978003	21978457	21975052
168	21976020	21973200	21962442
169	21970537	21972849	21972649
