Pos	Blue	Green	Red
  0	0	0	0
  1	0	0	0
  2	0	0	0
  3	200	0	0
  4	1300	0	0
  5	1700	0	0
  6	4000	0	0
  7	8500	0	0
  8	13200	0	0
  9	14400	0	0
 10	24500	0	0
 11	28400	0	0
 12	32300	0	0
 13	35800	0	0
 14	47800	0	0
 15	57200	0	0
 16	66800	0	0
 17	89000	0	0
 18	114200	0	0
 19	132300	0	0
 20	176500	0	0
 21	228400	0	0
 22	299400	0	0
 23	362900	0	0
 24	485100	0	0
 25	655100	0	0
 26	772800	0	0
 27	901000	0	0
 28	1130600	0	0
 29	1390600	0	0
 30	1852800	0	0
 31	2320500	0	0
 32	2853700	0	200
 33	3461900	0	4900
 34	4330200	0	9700
 35	5338400	0	12800
 36	6621100	0	19900
 37	8276500	0	30400
 38	10375500	0	40100
 39	12975300	0	59200
 40	15838300	0	86700
 41	19146100	2300	177200
 42	23769900	4700	277800
 43	28819800	23600	614600
 44	35515800	41200	1530100
 45	44201000	98500	3791000
 46	54089400	339500	8261300
 47	65382000	823800	14927800
 48	77481800	2267500	24311700
 49	89404500	6005500	36427200
 50	101350100	17515300	50069400
 51	113621900	56634000	66622400
 52	125874500	173469300	86041000
 53	139736800	458927900	105061500
 54	155064100	967485300	120406300
 55	174919900	1597146100	128693400
 56	194728900	2188842300	133744500
 57	216159800	2649571800	136421300
 58	235749100	2957153400	137823600
 59	249547100	2979220600	136544500
 60	258282200	2645976500	133153400
 61	259187100	2061947400	128654200
 62	261918800	1402418300	125029500
 63	261881800	819201100	121568700
 64	261417100	450985100	117825100
 65	262670500	274509900	113516400
 66	267143300	201056700	110403300
 67	280269900	171949300	109157800
 68	317523900	157390700	106493000
 69	398848100	147760100	104474800
 70	551794300	138748400	104119500
 71	806534000	133453800	102581400
 72	1120599800	128983200	99818500
 73	1425398400	122899800	98162200
 74	1696917000	120199800	97538800
 75	2002651000	117973600	97752200
 76	2312484600	115366300	98537700
 77	2508829300	112455000	98442800
 78	2449483900	109913300	98175100
 79	2144793200	108736500	98836400
 80	1684088700	108930600	97187300
 81	1219010400	110665200	97156300
 82	835591400	111121500	96537900
 83	546300900	111297300	96498500
 84	369526700	111527200	96408700
 85	264529900	111358600	95249100
 86	204254600	110882900	94413100
 87	164610600	109442100	94481900
 88	137405600	107865700	93991200
 89	119075300	106477300	94671200
 90	105828400	105680300	95227900
 91	95661100	104992400	94138500
 92	87082500	103389600	93616600
 93	80420900	101174800	93499200
 94	74547600	99353800	93629100
 95	68643300	97403500	93533800
 96	64054500	95329200	94027700
 97	60311500	95370500	94058700
 98	57021700	94753300	93255300
 99	54454000	94243600	92607700
100	52166200	94613600	93086800
101	50090400	95666100	93213400
102	47814300	95924100	92408200
103	45958700	95673300	92438000
104	44734200	94990400	92104400
105	43660300	93809400	90900000
106	42211000	92860300	90949300
107	41147100	92330500	90587800
108	40014800	92016100	89384700
109	38743800	91555900	87354800
110	37301100	91175800	86312700
111	36442700	90750300	84889000
112	35261700	90503300	83484100
113	34031600	90156700	82139800
114	33033800	89282600	80920000
115	32399400	88463700	79635200
116	31465600	87448100	78826200
117	30712900	86403400	77515400
118	29934700	84754600	76148500
119	28895300	83903100	74916900
120	28399200	83002200	74179900
121	27956300	81780700	73366400
122	27467000	79932300	72397200
123	27001000	79146900	71992300
124	26563800	78279400	70874300
125	25876100	77025900	70220200
126	25381700	75597500	69277300
127	24761500	74139800	68188000
128	24372000	71979700	66932700
129	23719400	69413200	65932200
130	23336000	67691700	64892300
131	23093200	65938400	64037300
132	22610800	63848800	63390000
133	21924900	62645900	62628900
134	21389800	61558700	62108600
135	20987600	60822600	61651300
136	20693400	59746000	61176500
137	20489900	57940700	60235300
138	20160400	56656200	59312600
