Pos	Blue	Green	Red
  0	0	0	0
  1	0	0	0
  2	0	0	0
  3	2	0	0
  4	13	0	0
  5	17	0	0
  6	40	0	0
  7	85	0	0
  8	132	0	0
  9	144	0	0
 10	245	0	0
 11	284	0	0
 12	323	0	0
 13	358	0	0
 14	478	0	0
 15	572	0	0
 16	668	0	0
 17	890	0	0
 18	1142	0	0
 19	1323	0	0
 20	1765	0	0
 21	2284	0	0
 22	2994	0	0
 23	3629	0	0
 24	4851	0	0
 25	6551	0	0
 26	7728	0	0
 27	9010	0	0
 28	11306	0	0
 29	13906	0	0
 30	18528	0	0
 31	23205	0	0
 32	28537	0	2
 33	34619	0	49
 34	43302	0	97
 35	53384	0	128
 36	66211	0	199
 37	82765	0	304
 38	103755	0	401
 39	129753	0	592
 40	158383	0	867
 41	191461	23	1772
 42	237699	47	2778
 43	288198	236	6146
 44	355158	412	15301
 45	442010	985	37910
 46	540894	3395	82613
 47	653820	8238	149278
 48	774818	22675	243117
 49	894045	60055	364272
 50	1013501	175153	500694
 51	1136219	566340	666224
 52	1258745	1734693	860410
 53	1397368	4589279	1050615
 54	1550641	9674853	1204063
 55	1749199	15971461	1286934
 56	1947289	21888423	1337445
 57	2161598	26495718	1364213
 58	2357491	29571534	1378236
 59	2495471	29792206	1365445
 60	2582822	26459765	1331534
 61	2591871	20619474	1286542
 62	2619188	14024183	1250295
 63	2618818	8192011	1215687
 64	2614171	4509851	1178251
 65	2626705	2745099	1135164
 66	2671433	2010567	1104033
 67	2802699	1719493	1091578
 68	3175239	1573907	1064930
 69	3988481	1477601	1044748
 70	5517943	1387484	1041195
 71	8065340	1334538	1025814
 72	11205998	1289832	998185
 73	14253984	1228998	981622
 74	16969170	1201998	975388
 75	20026510	1179736	977522
 76	23124846	1153663	985377
 77	25088293	1124550	984428
 78	24494839	1099133	981751
 79	21447932	1087365	988364
 80	16840887	1089306	971873
 81	12190104	1106652	971563
 82	8355914	1111215	965379
 83	5463009	1112973	964985
 84	3695267	1115272	964087
 85	2645299	1113586	952491
 86	2042546	1108829	944131
 87	1646106	1094421	944819
 88	1374056	1078657	939912
 89	1190753	1064773	946712
 90	1058284	1056803	952279
 91	956611	1049924	941385
 92	870825	1033896	936166
 93	804209	1011748	934992
 94	745476	993538	936291
 95	686433	974035	935338
 96	640545	953292	940277
 97	603115	953705	940587
 98	570217	947533	932553
 99	544540	942436	926077
100	521662	946136	930868
101	500904	956661	932134
102	478143	959241	924082
103	459587	956733	924380
104	447342	949904	921044
105	436603	938094	909000
106	422110	928603	909493
107	411471	923305	905878
108	400148	920161	893847
109	387438	915559	873548
110	373011	911758	863127
111	364427	907503	848890
112	352617	905033	834841
113	340316	901567	821398
114	330338	892826	809200
115	323994	884637	796352
116	314656	874481	788262
117	307129	864034	775154
118	299347	847546	761485
119	288953	839031	749169
120	283992	830022	741799
121	279563	817807	733664
122	274670	799323	723972
123	270010	791469	719923
124	265638	782794	708743
125	258761	770259	702202
126	253817	755975	692773
127	247615	741398	681880
128	243720	719797	669327
129	237194	694132	659322
130	233360	676917	648923
131	230932	659384	640373
132	226108	638488	633900
133	219249	626459	626289
134	213898	615587	621086
135	209876	608226	616513
136	206934	597460	611765
137	204899	579407	602353
138	201604	566562	593126
139	199124	551304	582057
140	195423	540388	576113
141	192587	526214	570615
142	188759	516874	568198
143	187172	507370	569739
144	183312	493770	575177
145	182333	482035	582776
146	180389	469756	592015
147	178026	462614	604335
148	177269	452588	647404
149	176469	441325	765315
150	175632	429929	1030406
151	175428	417453	1548173
152	176678	402388	2427811
153	174748	392264	3857347
154	173247	385896	6043789
155	174312	374668	8795267
156	175793	366697	11915997
157	178491	359359	14804927
158	181038	354891	17099378
159	183827	347649	19540806
