Pos	Blue	Green	Red
  0	87679955	87670470	87666106
  1	87663762	87662899	87658366
  2	87657214	87663056	87650730
  3	87654777	87664909	87660192
  4	87647216	87660135	87664642
  5	87672167	87656652	87656459
  6	87670458	87651271	87651924
  7	87661267	87657156	87661308
  8	87652936	87656189	87650435
  9	87659917	87664013	87647188
 10	87669224	87651989	87664790
 11	87658276	87654455	87659317
 12	87641744	87665022	87660615
 13	87671067	87646565	87641912
 14	87671648	87665662	87663934
 15	87677744	87644966	87666997
 16	87681634	87667038	87664286
 17	87668199	87669530	87645484
 18	87647643	87653619	87668707
 19	87670016	87683989	87658783
 20	87662708	87659333	87675605
 21	87656246	87661596	87651760
 22	87680737	87657176	87658821
 23	87674548	87667282	87653903
 24	87663871	87655937	87666063
 25	87655548	87646928	87662359
 26	87650136	87657106	87650574
 27	87658177	87672984	87669959
 28	87664262	87655752	87663315
 29	87659861	87647942	87656198
 30	87660237	87658229	87626124
 31	87674224	87656393	87660708
 32	87666815	87656785	87657888
 33	87662410	87670058	87643562
 34	87644260	87661936	87666196
 35	87670956	87668805	87661102
 36	87667307	87666523	87661080
 37	87671698	87648177	87654964
 38	87647524	87676391	87652272
 39	87663901	87661919	87662059
 40	87652982	87659989	87651411
 41	87670590	87670589	87658429
 42	87670828	87645539	87667372
 43	87673586	87643549	87639242
 44	87658233	87661061	87657298
 45	87650672	87667985	87672794
 46	87673802	87654613	87653235
 47	87661328	87653493	87653704
 48	87658856	87669724	87662094
 49	87646826	87658684	87674854
 50	87660662	87659936	87658999
 51	87686380	87649508	87661231
 52	87663333	87660235	87665102
 53	87668719	87644552	87656166
 54	87651803	87660774	87647061
 55	87665746	87660637	87666872
 56	87674051	87661314	87668907
 57	87665537	87650941	87660305
 58	87654436	87655677	87676631
 59	87659814	87675053	87674071
 60	87680171	87654690	87664961
 61	87642980	87652254	87660951
 62	87655829	87680084	87661805
 63	87663794	87663650	87651532
 64	87654937	87665221	87672231
 65	87650047	87638156	87650774
 66	87664656	87660135	87671524
 67	87661447	87658343	87668905
 68	87665754	87656277	87653658
 69	87656994	87676374	87658342
 70	87664270	87644655	87669755
 71	87656277	87660965	87656844
 72	87678140	87658829	87666744
 73	87638254	87666277	87658083
 74	87650425	87657858	87663348
 75	87684282	87656674	87660614
 76	87654585	87656169	87666806
 77	87664740	87661198	87651569
 78	87647614	87645370	87658065
 79	87662874	87658756	87648735
 80	87679109	87665204	87659612
 81	87655827	87672154	87670432
 82	87681720	87652974	87651593
 83	87653605	87643565	87681791
 84	87660646	87679394	87684236
 85	87652759	87658476	87651876
 86	87652146	87650271	87659659
 87	87656191	87657552	87656281
 88	87652266	87662791	87658749
 89	87648615	87676305	87662801
 90	87655717	87663140	87678968
 91	87672087	87675800	87666863
 92	87642850	87682702	87646269
 93	87668619	87662070	87661545
 94	87664629	87663668	87667872
 95	87664697	87665333	87645353
 96	87660921	87659085	87672030
 97	87649080	87639069	87660280
 98	87662266	87671603	87665825
 99	87663295	87667715	87664506
100	87663246	87659826	87675804
101	87669992	87638718	87661172
102	87647576	87663616	87645783
103	87648451	87655305	87664662
104	87658618	87654498	87665409
105	87644832	87666719	87654771
106	87675681	87655130	87653506
